City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,4.13,64,99,9.5,TF,1683511630
1,iskateley,67.6803,53.1512,-6.59,94,37,2.95,RU,1683511631
2,udachny,66.4167,112.4,-5.86,44,19,3.22,RU,1683511632
3,bredasdorp,-34.5322,20.0403,12.29,92,28,1.93,ZA,1683511632
4,bodo,67.28,14.405,7.19,88,100,7.2,NO,1683511633
5,fale old settlement,-9.3852,-171.2468,29.14,75,33,4.26,TK,1683511473
6,puerto natales,-51.7236,-72.4875,5.33,87,100,1.45,CL,1683511389
7,nyachera,-0.9,30.4167,15.39,93,21,0.61,UG,1683511634
8,beyla,8.6833,-8.6333,21.32,78,68,1.02,GN,1683511634
9,adamstown,-25.066,-130.1015,21.49,60,100,10.09,PN,1683511388
10,yellowknife,62.456,-114.3525,18.29,27,0,6.17,CA,1683511252
11,hami,42.8,93.45,14.1,22,53,2.98,CN,1683511636
12,kokopo,-4.352,152.2633,29.86,69,100,2.59,PG,1683511636
13,ribeira grande,38.5167,-28.7,17.65,98,100,4.02,PT,1683511425
14,badger,64.8,-147.5333,7.85,85,100,1.64,US,1683511433
15,iqaluit,63.7506,-68.5145,-5.15,68,40,4.12,CA,1683511380
16,lebu,-37.6167,-73.65,9.56,82,0,5.78,CL,1683511531
17,marsh harbour,26.5412,-77.0636,22.51,63,0,8.55,BS,1683511520
18,hastings,50.8552,0.5729,11.4,48,100,4.05,GB,1683511639
19,edinburgh of the seven seas,-37.0676,-12.3116,14.28,63,86,1.38,SH,1683511393
20,najran,17.4924,44.1277,24.44,24,47,0.24,SA,1683511640
21,el calafate,-50.3408,-72.2768,5.85,72,98,1.45,AR,1683511640
22,hawaiian paradise park,19.5933,-154.9731,25.02,80,94,0.45,US,1683511387
23,chonchi,-42.6128,-73.8092,7.84,95,35,0.73,CL,1683511391
24,serhetabat,35.2799,62.3438,13.9,55,0,1.2,TM,1683511641
25,mersa matruh,31.3525,27.2453,17.06,77,0,4.01,EG,1683511643
26,bethel,41.3712,-73.414,17.64,74,100,1.69,US,1683511407
27,aban,56.67,96.06,15.67,38,8,2.83,RU,1683511644
28,west island,-12.1568,96.8225,28.99,84,40,2.06,CC,1683511398
29,gamba,-2.65,10.0,25.56,92,100,1.88,GA,1683511497
30,erenhot,43.6475,111.9767,16.32,16,96,1.5,CN,1683511645
31,pambujan,12.5642,124.9276,31.16,61,20,2.41,PH,1683511646
32,wailua homesteads,22.0669,-159.378,27.24,68,72,3.13,US,1683511386
33,port elizabeth,-33.918,25.5701,19.16,80,75,4.12,ZA,1683511419
34,bilibino,68.0546,166.4372,-2.51,75,18,1.27,RU,1683511416
35,grytviken,-54.2811,-36.5092,1.11,98,92,4.16,GS,1683511395
36,stanley,54.868,-1.6985,10.44,91,0,0.51,GB,1683511404
37,altay,47.8667,88.1167,7.24,69,100,2.38,CN,1683511649
38,olonkinbyen,70.9221,-8.7187,1.48,100,100,3.76,SJ,1683511446
39,waitangi,-43.9535,-176.5597,15.46,90,100,3.13,NZ,1683511650
40,goundam,16.4145,-3.6708,32.85,26,100,1.82,ML,1683511650
41,margaret river,-33.95,115.0667,18.63,47,99,7.44,AU,1683511408
42,anadyr,64.75,177.4833,0.28,74,20,8.94,RU,1683511277
43,longyearbyen,78.2186,15.6401,-2.09,86,75,2.57,SJ,1683511399
44,korla,41.7597,86.1469,11.49,36,100,2.43,CN,1683511652
45,yigo village,13.5361,144.8886,30.62,70,40,6.69,GU,1683511652
46,katsuren-haebaru,26.3369,127.8719,23.01,83,40,7.2,JP,1683511653
47,auki,-8.7676,160.7034,29.53,75,98,1.12,SB,1683511653
48,jieshi,22.8134,115.8257,23.08,83,100,4.09,CN,1683511450
49,puerto ayora,-0.7393,-90.3518,26.42,95,61,3.69,EC,1683511444
50,ushuaia,-54.8,-68.3,6.81,81,20,1.54,AR,1683511397
51,tual,-5.6667,132.75,28.74,76,98,5.83,ID,1683511640
52,roma,43.2128,-75.4557,12.99,90,100,2.57,US,1683511438
53,letterkenny,54.95,-7.7333,12.86,98,100,3.67,IE,1683511656
54,namibe,-15.1961,12.1522,23.88,62,46,2.06,AO,1683511657
55,port mathurin,-19.6833,63.4167,25.75,71,10,11.09,MU,1683511474
56,codrington,-38.2667,141.9667,13.79,71,74,7.24,AU,1683511458
57,chernomorskoye,45.5039,32.6997,11.14,81,73,6.09,UA,1683511658
58,papatowai,-46.5619,169.4708,15.6,74,100,1.22,NZ,1683511422
59,rugby,52.3709,-1.2642,11.25,90,100,3.01,GB,1683511659
60,trevelin,-43.0858,-71.4639,5.51,85,1,1.74,AR,1683511660
61,lichinga,-13.3128,35.2406,15.05,82,20,1.54,MZ,1683511660
62,pacific grove,36.6177,-121.9166,16.23,71,0,4.63,US,1683511204
